UniProtId,GO_ID,GO_Name,Namespace
P00007,GO:0005829,cytosol,cellular_component
P00007,GO:0005758,mitochondrial intermembrane space,cellular_component
P00007,GO:0070469,respirasome,cellular_component
P00007,GO:0009055,electron transfer activity,molecular_function
P00007,GO:0020037,heme binding,molecular_function
P00007,GO:0046872,metal ion binding,molecular_function
P00007,GO:0006915,apoptotic process,biological_process
P00007,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
P00007,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process
P00008,GO:0005829,cytosol,cellular_component
P00008,GO:0005758,mitochondrial intermembrane space,cellular_component
P00008,GO:0070469,respirasome,cellular_component
P00008,GO:0009055,electron transfer activity,molecular_function
P00008,GO:0020037,heme binding,molecular_function
P00008,GO:0046872,metal ion binding,molecular_function
P00008,GO:0006915,apoptotic process,biological_process
P00008,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
P00008,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process
P00012,GO:0005829,cytosol,cellular_component
P00012,GO:0005758,mitochondrial intermembrane space,cellular_component
P00012,GO:0070469,respirasome,cellular_component
P00012,GO:0009055,electron transfer activity,molecular_function
P00012,GO:0020037,heme binding,molecular_function
P00012,GO:0046872,metal ion binding,molecular_function
P00012,GO:0006915,apoptotic process,biological_process
P00012,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
P00012,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process
Q55013,GO:0031676,plasma membrane-derived thylakoid membrane,cellular_component
Q55013,GO:0030096,plasma membrane-derived thylakoid photosystem II,cellular_component
Q55013,GO:0009055,electron transfer activity,molecular_function
Q55013,GO:0020037,heme binding,molecular_function
Q55013,GO:0005506,iron ion binding,molecular_function
Q55013,GO:0019684,"photosynthesis, light reaction",biological_process
Q55013,GO:0022904,respiratory electron transport chain,biological_process
Q8NNK5,GO:0005886,plasma membrane,cellular_component
Q8NNK5,GO:0070469,respirasome,cellular_component
Q8NNK5,GO:0020037,heme binding,molecular_function
Q8NNK5,GO:0005506,iron ion binding,molecular_function
Q8NNK5,GO:0008121,ubiquinol-cytochrome-c reductase activity,molecular_function
P00014,GO:0005829,cytosol,cellular_component
P00014,GO:0005758,mitochondrial intermembrane space,cellular_component
P00014,GO:0070469,respirasome,cellular_component
P00014,GO:0009055,electron transfer activity,molecular_function
P00014,GO:0020037,heme binding,molecular_function
P00014,GO:0046872,metal ion binding,molecular_function
P00014,GO:0006915,apoptotic process,biological_process
P00014,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
P00014,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process
Q03075,GO:0005886,plasma membrane,cellular_component
Q03075,GO:0070469,respirasome,cellular_component
Q03075,GO:0009055,electron transfer activity,molecular_function
Q03075,GO:0020037,heme binding,molecular_function
Q03075,GO:0005506,iron ion binding,molecular_function
Q03075,GO:0016491,oxidoreductase activity,molecular_function
Q03075,GO:0006119,oxidative phosphorylation,biological_process
Q03075,GO:1902600,proton transmembrane transport,biological_process
Q03438,GO:0005886,plasma membrane,cellular_component
Q03438,GO:0070469,respirasome,cellular_component
Q03438,GO:0005507,copper ion binding,molecular_function
Q03438,GO:0004129,cytochrome-c oxidase activity,molecular_function
Q03438,GO:0020037,heme binding,molecular_function
Q03438,GO:0042773,ATP synthesis coupled electron transport,biological_process
O23138,GO:0005829,cytosol,cellular_component
O23138,GO:0005758,mitochondrial intermembrane space,cellular_component
O23138,GO:0005739,mitochondrion,cellular_component
O23138,GO:0005634,nucleus,cellular_component
O23138,GO:0000325,plant-type vacuole,cellular_component
O23138,GO:0070469,respirasome,cellular_component
O23138,GO:0005507,copper ion binding,molecular_function
O23138,GO:0009055,electron transfer activity,molecular_function
O23138,GO:0020037,heme binding,molecular_function
O23138,GO:0010336,gibberellic acid homeostasis,biological_process
O23138,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
O23138,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process
